འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
འལ་ལེ་འོལ་ལེ|vague/_imprecise
འབབས་པ|དབབ་པ to fall/_come down
འབད་མེད|effortless
འབད་པ|to strive/_make effort
འབད་རྩོལ|འབད་རྩོལ་བྱེད་པ to exert (oneself); (to make/_be involved in) concerted effort. isc. concerted effort/_struggle; to make effort/_try to develop; isc. exertion
འབད་མེད་པར|effortlessly
འབག|mask; འདྲ་འབག - likeness
འབར་འཛག|(meditative process of) blazing and trickling down
འབར་བ|to blaze/_burn; blazing; (to be) brilliantly radiant/_resplendent - [one of the nine moods of dance (form)]
འབེབས་པ|ཕོབ to come (down). བབས་པ to send/_bring down; to cause to fall
འབིག་པ|to penetrate
འབོད་པ|to coerce
འབོག་པ|འབོགས་པ to fall down in a fit/_have a seizure
འབོགས་པ|འབོག་པ to fall down in a fit/_have a seizure
འབོལ་ལེ་བ|ebullient
འབྲལ་བ|to be separated from/_divorced from/_free of; freedom from . . . ; to transcend
འབྲས་བུ|result(ant factor)/_effect; fruition/_goal (aspect) (of)
འབྲས་ཆོས|resultant/_fruition state factors
འབྲས་ཆོས་ལྔ|five resultant/_fruition state factors
འབྲས་བུ་ལམ་བྱེད|forging the path as/_through/_with the fruition
འབྲས་བུའི་རྒྱུད|tantra as fruition/_fruition aspect of tantra
འབྲས་བུའི་ཐེག་པ|result-oriented approach
འབྲེལ་བ|to pertain to/_be connected/_joined/_related; connection/_connectedness
འབྲེལ་ཐག|continuity
འབྲིམ་པ|to distribute/_pass around
འབྲིང|in the average case . . .
འབྲིང་བ|འབྲིང་པོ intermediate (level of acumen/_intensity)
འབྲིང་པོ|འབྲིང་བ intermediate (level of acumen/_intensity)
འབུད་པ|to do away with/_leave behind; to burst forth/_emerge; isc. to cast off
འབྱམ་པ|འབྱམས་པ to become lost (in)/_diffuse/_spread out
འབྱམས|. . . 'byams - vast range of . . .
འབྱམས་པ|to become lost (in)/_diffuse/_spread out
འབྱམས་ཀླས་པ|(to be) infinite (in) extent; to extend freely/_vastly; to be deeply/_thoroughly immersed/_absorbed in . . . ; to expand; expansiveness
འབྱེད་མེད|inalienable/_undifferentiated (from the ground of being); nonanalytical; undifferentiated/_indivisible; cannot be fragmented
འབྱེད་པ|འབྱེད་པ་། ཕྱེས་པ་། ཕྱེད་པ། དབྱེ་བ to differentiate/_distinguish/_analyze/_divide; analysis/_differentiation; isc. to distil
འབྱེད་མེད་ཤེས་རབ|(one of the shes rab lnga) inalienable sublime knowing/_wisdom/_transcendent knowlege; profound knowing/_wisdom/_transcendent knowledge that cannot be fragmented
འབྱོན་པ|to approach/_come/_appear
འབྱོང་བ|to refine/_train/_develop
འབྱུང་འཇུག|occurrence and engagement (of thought)
འབྱུང་བ|(las) 'byung ba - to come about due to . . .. element(al quality); to occur/_happen/_ensue; to come into being/_come about/_ensue/_lead to/_come from/_issue; to account for/_ensure; to be operant (as); isc. to pertain
འབྱུང་བའི|from which . . . arise(s)
འབྱུང་གནས|origin
འབྱུང་ཁུངས|འབྱུང་བའི་ཁུངས origin from which (something) arises/_comes
འབྱུང་རྐྱེན|isc. perpetuating force
འབྱུང་བའི་ཁུངས|origin from which (something) arises/_comes
འབྱུང་བ་རིམ་བརྩེགས|progressive stacking of elements (one above the other)
འབྱུང་གནས་འགྲོ་གསུམ|three phases of thought/_mind—occurrence, duration, cessation
འབྱུང་འཇུག་རེ་དོགས་དང་བྲལ་བ|free of the occurrence or engagement of thoughts, free of hope or fear
འབྱུང་འཇུག་གནས་གསུམ|three phases of thought—occurrence, engagement, rest
འཆའ་བ|བཅས་པ to set up/_formulate/_base (on)
འཆབ་པ|concealment; to conceal
འཆད་པ|བཤད་པ to explain/_set forth
འཆམ|ritual dance
འཆམ་དཔོན|master of dance
འཆར་བ|ཤར་བ to arise; ཤར་བ to arise [emphasis on 'inner' arising of thoughts versus 'outer' manifesting; of sensory appearances]; isc. to become apparent/_happen/_occur; isc. to experience/_be(come) aware of/_be(come) conscious of
འཆར་གཞི|[in 'ultimate' sense of dharmakaya] ground for all that arises/_for the arising of things/_from which things arise [in 'relative' sense of sambhogakaya and nirmanakaya] a ground from which things arise
འཆར་སྒོ|avenue for the arising/_expression (of . . . )
འཆར་ཚུལ|manner/_way/_mode/_process of arising; the way in which . . . arises; isc. things arise such that they . . .
འཆར་བྱེད་བརྒྱད|eight modes/_ways that allow [spontaneous presence] to arise
འཆར་ཚུལ་བརྒྱད|eight ways/_modes of [spontaneous presence] arising
འཆི་བ|death; to die; mortality
འཆི་བདག|Lord of Death
འཆི་ཀ|point of death; dying process
འཆི་མེད|deathless/_immortal
འཆི་སྲིད|death as a phase of conditioned existence
འཆི་མེད་ཙེ་ཡི་དངོས་གྲུབ|siddhi/_spiritual attainment of longevity and immortality
འཆི་བདག་གི་བདུད|mara of the 'lord of death'
འཆི་ཀའི་བར་དོ|interval/_intermediate state of dying process
འཆི་བ་མི་རྟག་པ|death and impermanence
འཆི་བ་མེད་པ|deathless/_immortal
འཆིང་བ|བཅིང་བ to embrace (within)/_subsume/_encompass/_contain; to bind/_fetter/_restrict/_confine; isc. to (be) constrain(ed); isc. to (be) epitomize(d by)
འཆིང་ཞེན|constricting fixations; isc. fixating constraints
འཆོལ་བ|བཅོལ་བ to violate the bounds of secrecy. to make errors (in judgement); to be comprised (of). གསང་སྒོ་འཆོལ་བ to enjoin/_entrust/_commission; isc. to require (of)
འཆོས་པ|བཅོས་པ to contrive; to fashion/_tailor/_mold/_shape; to concoct/_fabricate/_compromise; isc. to improve on
འཆུག་མེད|unerring
འཆུག་པ|to err/_blunder/_confuse/_deviate
འཆུགས་པ|to err/_blunder/_confuse/_deviate
འདའ་བ|. . . (las) 'da' ba/_'das pa - to transcend/_go beyond/_be beyond/_fall outside of/_escape/_be above . . . ; isc. to fall short of . . . ; isc. to lose/_stray from [a context]
འདའ་དཀའ|difficult to contradict
འདའ་དཀའ་བ|difficult to contradict
འདབ་ན|. . . (kyi) 'dab na - alongside . . .
འདམ་པ|mire/_swamp
འདེ་བ|ལྡེ་བ to warm/_sun oneself
འདེད་པ|དེད་པto banish/_eliminate; to follow/_pursue/_chase; isc. to trace back
འདེམ་ཀ|choice; possible alternative
འདེམ་ཀ་མེད་པར|without choice/_any alternative; inevitably
འདེངས་པ|དེངས་པ to disperse; to vanish/_disappear
འདི་ལྟར|as . . . do; like this; thus; in this way . . . ; in any way; such as . . . ; is such that . . . ; ='as/_see below' (cf. de ltar)
འདི་ལྟ་སྟེ|it is thus: . . .
འདི་ཡིན་གྱི|being this or that
འདི་ཞེས་མེད|does not exist as some 'thing'
འདི་ཞེས་མི་མཚོན་པ|cannot be characterized as/_to be some 'thing'
འདི་ལྟར་སྣང་བའི|(that) appear as it does/_they do
འདོད་འཇོ|providing/_yielding all that is wished for/_desirable
འདོད་ཆགས|desire-attachment/_desire and attachment; sexual desire/_passion
འདོད་དགུ|all desirables/_everything desirable
འདོད་དོན|འདོད་པའི་དོན desired aim/_goal
འདོད་པ|to hold/_maintain/_posit (i.e., philosophically)/_believe (in); to wish/_desire; desire; (philosopical) supposition/_opinion
འདོད་སྣམ|ledge; འདོད་ཡོན་གྱི་སྣམ་བུ stylobate/_projecting ledge (of mansion) for offering goddesses
