ཀུད|བཀུ ND.gives as the present of ཀུད.
ཀུམ|Present: འགུམ DS. \nPast: ཀུམ [DS].\nFuture: ཀུམ [DS].\nIntransitive: DS.\nMeaning: (archaic) To die DS.\nNote: Compare ཀུམ 
ཀེར|Present: ཀེརད CD, DK, DS, TC.\nPast: ཀེར DK, ཀེར [DS].TC.\nFuture: ཀེརད DK, TC, [DS].\nImperative: ཀེར DK.- TC.\nInvoluntary:TC.Voluntary:(Hoshi 2003).\nIntransitive:DS, TC. \nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To erect, to point a finger toward the sky DK. To raise, lift up CD. To raise up (e.g. a finger) DS. To arise, get up TC.
ཀོང|བཀོང DK gives as the present of ཀོང. 
ཀྲང|Auxiliary: གྲང (Gyurme 1992: 150-152), (ngag dbang tshul khrim 1997).\nFunction: (archaic, main verb un-negated) Signifies the successful execution of an action (Gyurme 1992: 150-152).(archaic) A question word similar to ངམ , གམ , &c. (ngag dbang tshul khrim 1997).\nNote: Compare ཀྲང 
ཀྲབས|བཀྲབ LZ gives as the present of ཀྲབས 
ཀྲོངས|དགྲོངས LZ gives as the present of ཀྲོངས 
ཀླན|Present: ཀླན [CD], DS, TC.\nPast: ཀླན [DS].\nFuture: ཀླན [CD], [DS].\nTransitive:DS, (Skorupski 2001).\nMeaning: 1. To wreak revenge for. [2. To mend, to patch] CD. 1. To avenge, to take revenge. 2. To answer, counter DS. (archaic) To answer, counter TC.
ཀླལ|གླལ CD, (DS) give as a present of ཀླལ. 
ཀླས|Present: ཀླས (Li & Coblin 1987), [TC], (ngag dbang tshul khrim 1997).\nMeaning: To be beyond, further than (Li & Coblin 1987). 1. To forget. 2. To arrive at the depths, meet the limit. 3. To understand (ngag dbang tshul khrim 1997).\nNote:CD, DS, TC prefer to see this as an adjective.
ཀླུབ|Present: ལྷུབ་པ CD, DK.\nPast: ཀླུབས CD, DK.\nFuture: ཀླུབ DK.\nImperative: ཀླུབས DK.\nCausative of: ཀླུབ (Chang 1971: iv.13).\nMeaning: To cover the body with ornaments (Ja), to put on luxuriously (Cs), to set up a tent CD. To put on; to wear DK.\nNote: Root given as klub < *s-'-lhub, *b-lhub? (Chang 1971: iv.12)
ཀླུབ|Present: ལྷུབས LZ.ཀླུབ DK, DS, TC.\nPast: བླུབས (see note). ཀླུབ LZ, DK, DS, TC. \nFuture: བླུབས LZ.ན་བཟའ་སོགས DK, DS, TC.\nImperative:unattested ལྷུབ་པ (see note).ཀླུབས LZ, DK, DS, TC.\nVoluntary: DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: ལྷུབས [Chang 1971: iv.13].\nCharacteristic Example: བཀླུབ LZ.\nMeaning: To adorn, put on another person; to make someone put on DK. To ornament, put on clothes DS. 1. To wear. 2. To adorn, decorate TC.\nNote: Root given as g + lhub (Hahn 1999).\nNote: For the form ཀླུབས (a. 1680) see (Eimer 1987); (Hahn 1999) suggests the inflection བཀླུབས , བླུབས , *ཀླུབ , *ཀླུབས ; for the imperative he compares lhab lhub 'excessively bedecked'. 
ཀློག|Present: ལྷོགས KYT, KYN, TD, LZ, CD, ND, DK, DS, TC.\nPast: ཀླག (see note).བླགས KYT, KYN, TD, LZ, CD, ND, DK, DS, TC.ཀློག CD.\nFuture: པླཧགས KYT, KYN, TD,\nTD has ཕླགས as the future, but this is obviously a mistake. LZ, CD, ND, DK, DS, TC.པླགས CD.\nImperative: ཡི་གེ KYT, KYN, TD, LZ, CD, ND, DK, DS, TC.བཀའ་བསྟན་དང་ཡི་གེ་སོགས (KYN), (ND).\nVoluntary:KYT, KYN, TD, CD, ND, DS, TC, (Tournadre & Dorje 2003: 117), (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 117), (Hackett 2003).\nCharacteristic Example: མདོ་སྔ་སོགས TD.ལྷོགས LZ.ཀློགས ND.\nMeaning: To read CD, DK. To read aloud DS, TC.\nNote: Root given as klag < *s-'-lhag (Chang 1971: iv.12), *g + lhag (Hahn 1999).\nNote: This form was first noted by (Nobel 1955) it is discussed in (de Jong 1974) who finds the forms ཀླག , བཀྲག་བྱ , and བཀླག as well. (Hahn 1999) suggests the inflection ཀླགས , བཀླགས , བླགས , ཀློག. 
དཀག|Present: དཀག DS.\nPast: དཀག [DS].\nFuture: དཀག [DS].\nIntransitive:DS.\nMeaning: (of a melted liquid ) To solidify in the process of cooling DS.
དཀའ|Present: དཀའ ND.\nPast: དཀའ [ND].\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be difficult (Hackett 2003).
དཀུ|Present: དཀུ DS, TC.\nPast: དཀུ [DS], TC.\nFuture: དཀུ [DS], TC.\nImperative: - TC.\nIntransitive:DS, TC.\nSyntax: [Abs, Obl.] (Hackett 2003).\nMeaning:To drip, come down, fall DS.1. To brew, exude. 2. To fall. 3. (archaic) To remain, be left behind TC.
དཀོནད|Present: འཇིག་རྟེན་སོགས་སུ LZ.\nPast: དཀོནད LZ.\nFuture: དཀོན LZ.\nImperative: དཀོནད LZ.\nCharacteristic Example: དཀོནད LZ.\nMeaning: To appear (ngag dbang tshul khrims 1997).
དཀྱུ|Present: འཁྱུས LZ, CD (archaic), DK, DS, TC.བྲོས་པའི ND.\nPast: རྟ་སོགས LZ, ND, DK, DS, TC.\nFuture: འཁྱུས LZ, ND, DK, DS, TC.\nImperative: དཀྱུས LZ, ND, DK, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: དཀྱུ NWH\nCharacteristic Example: དཀྱུས LZ.འཁྱུས ND.\nMeaning: 1. To run a race 2. To wring out; to filter (Sch.) 3. To caper about (Ja) CD. To race, to run away DK. To race (a horse, mule, &c.) DS. To control, ride a horse TC.\nNote: see note at དཀྱུ.
དཀྱུད|Present: དཀྱུད CD.\nMeaning: To forget CD.
དཀྲི|Present: དར་སོགས LZ, CD, ND, DK, DS, TC.དར་སོགས་ཀྱིས CD.\nPast: འཁྲིལ LZ, CD, ND, DK, DS, TC.\nFuture: འཁྲི LZ, ND, DK, DS, TC.\nImperative: དཀྲིས LZ, ND, DK, DS, TC.- ND.\nInvoluntary: ND. Voluntary: DS, TC, (Hoshi 2003).\nTransitive:CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: དཀྲི [CD] (Chang 1971: v.6), (Duff). དཀྲིས (Chang 1971: v.6).\nCharacteristic Example: བཀྲི LZ.དཀྲི ND.\nMeaning: 1. (archaic) To conduct one's pupil from one stage of learning to another stage. 2. To wind; to wrap around. 3. To ensnare CD. To wind, to wrap up; to roll up DK. To bind something with string or rope DS. 1. To bind, to tie. 2. To cover, impose, accuse, deprecate TC.
དཀྲིག|Present: དུ་སྤྲིན་སོགས LZ, DK, DS, TC.\nPast: འཁྲིག LZ, DK, DS, TC.\nFuture: དཀྲིགས LZ, DK, DS, TC.\nImperative: ཁྲིགས LS. དཀྲིག DK, DS, TC.\nVoluntary: DS, TC.\nTransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCausative of: དཀྲིགས (Duff).\nCharacteristic Example: དཀྲིག LZ.\nMeaning: To make overcast; to gather clouds [sic], to pile up DK. To fill up (with clouds, smoke &c.) DS.To obscure TC.
དཀྲུག|Present: དཀྲོག LZ, CD, DK, DS, TC. \nPast: ཞོ་དང་ཐུགས་སོགས LZ, DK, DS, TC. \nFuture: སྤྲུག LZ, DK, DS, TC.\nImperative: འཁྲུག LZ, DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: དཀྲུགས [CD] (Chang 1971: v.6) (Gyurme 1992: 258) (Duff).Cognate with: དཀྲུག (Chang 1971: v.6)\nCharacteristic Example: དཀྲུགས LZ.\nMeaning: To disturb, put in motion; to turn, turn on a lathe CD. To stir up; to disturb; to agitate; to disunite; to create differences by instigation DK. 1. To stir, churn (a kind of liquid with a stick). 2. To be unharmonious, disagreeable. 3. To finish, conclude DS. 1. To disturb, stir, churn. 2. To agitate, disrupt. 3. To carve by turning on a lathe TC.\nNote: Root given as dkrug < *b-krug (Chang 1971: v.6).\nNote: Compare དཀྲུག.
དཀྲུམ|Present: ཅོང་ཞི་སོགས LZ, DK, DS, TC.\nPast: དཀྲུམས LZ, DK, DS, TC.\nFuture: དཀྲུམ LZ, DK, DS, TC.\nImperative: དཀྲུམས LZ, DK, DS, TC.\nVoluntary: DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: དཀྲུམ LZ.\nMeaning: To break; to crack DK. To break into bits DS. To break (fragile objects) TC.
དཀྲོག|Present: དཀྲུག LZ, CD, ND, DK, DS, TC. ཞོ CD.\nPast: ཞོ་དང་བྱ་སོགས LZ, ND, DK, DS, TC. \nFuture: སྟོ་དང་བྱ་སོགས LZ, ND, DK, DS, TC.\nImperative: ཞོ་སོགས LZ, ND, DK, DS, TC. - ND.\nVoluntary:ND, DS, TC, (Hoshi 2003). Involuntary:ND.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nActive of: འཁྲོག (Chang 1971: v.6). Causative of: སྐྲོག (Gyurme 1992: 258) [Duff].\nCharacteristic Example: དཀྲོགས LZ. དཀྲོག (dkrogs) NDB.དཀྲོགས (dkrogs) NDA. དཀྲོགས (-) ND.\nMeaning: 1. To churn; to agitate, mingle, trouble. 2. To rouse; scare up; to wag, e.g. the tail (Ja) CD. To stir up; to churn; to give a feeling of surprise to; to disturb; to open. DK. 1. To stir, churn. 2. To startle, surprise DS. 1. To churn, agitate, stir. 2. To disturb TC.\nNote: Root given as dkrog < b-krog (Chang 1971: v.6). \nNote: Compare དཀྲོག 
དཀྲོལ|འཁྲོལ LZ, DK, TC. give as the present to དཀྲོལ 
བཀན|Present: ལག་པས LZ, ND, CD, DS, TC.\nPast: ལག་པ་སོགས LZ, ND. ལག་པར་སོགས [DS], TC. \nFuture: ལུས་དང་ཐལ་མོ་སོགས LZ, ND. [DS]. TC.\nImperative: བཀན LZ, ND. - ND.བཀནད TC.\nVoluntary: ND, TC, (Hoshi 2003). Involuntary:ND\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བཀན LZ. བཀན (bkand) NDB.བཀནད (bkand) NDA.བཀན (-) ND. \nMeaning: 1. To up-root, turn up anything by applying a stick at its foot or root. 2. To bend. 3. To put; to press; to apply (Ja). 4. To hold fast; to extend (Cs). CD. 1. To raise up. 2. To firmly press DS. 1. To turn face upwards. 2. To hold firmly, to press down. 3. To neglect TC.
བཀུ|Present: སྨན་དང་སྣུམ་སོགས LZ, CD, DS, TC. སྨན་གྱི་ཁུ་བ་སོགས ND.\nPast: ཁུ་བ LZ, CD, ND, DS, TC.\nFuture: སྐུད LZ, ND, DS, TC.\nImperative: བཀུས LZ, ND. ཀུས DS, TC.\nVoluntary:LZ, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nResultative of: བཀུ NWH.\nDenominative of: བཀུས 'juice'NWH\nCharacteristic Example: ཀུད LZ. བཀུ ND.\nMeaning: To make extract of a drug by drawing out the juice CD. To extract juice by boiling DS.To extract a medicinal infusion TC.
བཀུར|Present: གཙུག་ཏུ LZ, CD, DS, TC.མཆོག་དང་གོང་དུ ND, DK\nPast: ཁུརད LZ, ND, DK. བཀུར [DS], TC.\nFuture: བཀུར LZ, ND, DK, [DS], TC.\nImperative: བཀུར LZ, TC.བཀུརད ND, DK.\nVoluntary: TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: འཁུར LZ.བཀུར ND.\nMeaning: I. To pay homage or reverence; to esteem. 2. To slander, to blaspheme CD. To respect, venerate DK. To respect DS.To make offering, serve, respect TC.
བཀུར|འཁུར CD gives as a present to བཀུར 
བཀོང|Present: འགོང LZ, DS, TC. འཁོང DK.\nPast: སྦ་སོགས LZ, DK. ཀོངས [DS], TC.\nFuture: བཀོང LZ, DK, [DS], TC.\nImperative: བཀོང LZ, TC. བཀོང DK.\nVoluntary: TC.\nTransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བཀོངས LZ. \nMeaning: To break the pride of somebody; to cause to become a coward DK. To discourage, intimidate, humble DS. To frighten, intimidate, discourage TC.\nNote: Compare ཀོང and བཀོང 
བཀོང|Present: བཀོང DS.\nPast: བཀོང [DS].\nFuture: བཀོང [DS].\nIntransitive:DS \nMeaning: To be wrinkled DS.
བཀོན|འཁོན LZ, TC. give as the present of བཀོན.
བཀོལ|འཁོལ LZ, TC. give as the present of བཀོལ 
བཀྱོན|Present: ཚིག་གམ་བཀས LZ, CD, DK, DS, TC.\nPast: བཀྱོནད LZ, DK. བཀྱོན [DS], TC.\nFuture: བཀྱོན LZ, DK, [DS], TC.\nImperative: བཀྱོན LZ, TC. བཀྱོནད DK.\nVoluntary: TC.\nTransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བཀྱོན LZ.\nMeaning: To beat, to chastise CD. To scold; to admonish DK. (honorific) To speak roughly to someone DS. (honorific) To scold, reprimand TC.
བཀྲ|Present: བཀྲ ND.\nPast: བཀྲ [ND].\nMeaning: To be beautiful, clear, multicolored (CD, TC list as an adjective).
བཀྲགས|Past (?): སྲེག (Tournadre & Dorje 2003: 228).\nVoluntary:(Tournadre & Dorje 2003: 228).\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 228).\nMeaning: To roast, grill (Tournadre & Dorje 2003: 228).\nNote: (Tournadre & Dorje 2003: 228) imply a connection to བཀྲགས 
བཀྲབ|Present: འཁོར་དང་གྲོགས་སོགས LZ. བཀྲོབས CD, DS, TC.\nPast: བཀྲབས LZ.CD, DS, TC. \nFuture: ཀྲོབས LZ.DS, TC.\nImperative: བཀྲབ LZ. བཀྲབས DS. བཀྲབ TC.\nVoluntary:DS, TC. \nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: ཀྲབས LZ.\nMeaning: To choose or select from among many CD. (archaic) To select from among many DS. To choose, select TC.
བཀྲལ|Present: ཁྲལ CD, TC. འགྲེལད DK.\nPast: བཀྲོལ TC. བཀྲལ DK.\nFuture: བཀྲལད DK, TC. \nImperative: བཀྲལ TC. འགྲེལ DK.\nVoluntary:TC.\nTransitive:TC.\nDenominative of: བཀྲལ 'tax'NWH.\nMeaning: To appoint CD. To share tax payment DK. To impose (a tax) TC. 
བཀྲི|འཁྲིད LZ, CD (archaic), TC. give as the present of བཀྲི 
བཀྲུག|དཀྲུག (Chang 1971: v.6), (Ja) give as an alternate or erroneous present to བཀྲུག. 
བཀྲེས|Present: བཀྲེས CD (archaic), DK, TC.\nPast: བཀྲེས DK, TC.\nFuture: བཀྲེས DK, TC. \nImperative: བཀྲེས DK. - TC.\nInvoluntary:TC.\nIntransitive:TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: བཀྲེས 'hunger' NWH.\nMeaning: To be hungry CD, TC. To feel hungry DK.
བཀྲོས|Present: བཀྲོས CD, DK.\nPast: བཀྲོས DK.\nFuture: བཀྲོས DK.\nImperative: བཀྲོས DK.\nMeaning: To choose; to select. CD, DK.
རྐམ|Present: འདོད་ལ LZ, [CD], TC. ཟས་ནོར་སོགས་ལ ND. རྐོམས [CD (archaic)], DK, DS. \nPast: རྐམས LZ, TC. བརྐམ ND, DK, DS.\nFuture: བརྐམ LZ, ND, DK, DS, TC.\nImperative: བརྐམས LZ. བརྐམ DK. རྐམ ND, DS. - TC.\nVoluntary:ND, DS.Involuntary:TC.\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: རྐོམ LZ.བརྐམ ND.\nMeaning:To desire, long for (as a child for sweets) DS. To be attached to, to yearn forTC.
རྐུ|Present: རྐུན་མ TD, LZ, CD, ND, DK, DS, TC.\nPast: གཞན་ནོར་སོགས TD, LZ, CD, ND, DK, DS, TC.\nFuture: གཞན་གྱི་ནོར་སོགས TD, LZ, CD, ND, DK, DS, TC.\nImperative: རྐུན་མ TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: རྐུས 'thief'NWH.\nCharacteristic Example: བརྐུ TD. བརྐུས LZ. རྐུ ND. \nMeaning: To steal; to rob. CD. To steal; to take away unlawfully DK. To steal, to take by sleight the property of another which has not been given or paid for TC.
རྐོ|Present: ས་དྲང་སྤར་སོགས KYN, TD, LZ, CD, ND, DK, DS, TC. ས་དང་དཔར་སོགས CD.\nPast: ཁྲོན་པ་སོགས KYN, TD, LZ, CD, ND, DK, DS, TC.\nFuture: རྐ KYN, TD, LZ, ND, DK, DS, TC.\nImperative: རྐོས KYN, TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:KYN, TD, LZ, CD, ND, DK, DS, TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: བརྐོ 'furrow' (Beyer 1992: 112 n.11).\nCharacteristic Example: བརྐོས TD. རྐོད LZ. རྐོ ND.\nMeaning: 1. To dig, dig out; to hoe. 2. To engrave; turn up; till CD. To inscribe; to dig; to engrave; to print DK. To dig (a hole in the ground &c.) DS 1. To dig, excavate. 2. To carve out letters and designs (in stone, wood &c.) TC.
རྐོན|Present: རྐོན DK.\nPast: རྐོནད DK.\nFuture: བརྐོན DK.\nImperative: བརྐོནད DK.\nDenominative of: རྐོན 'a net, trap' NWH.\nMeaning: To trap or catch in a trap. DK\nNote: From colloquial data (Chang 1971: vii.16) hypothesizes a verb *bskon 'to cause to get caught, hung up i.e. to hang on a peg' as the causative of *khon or *'khon 'to get caught, hung up'. Perhaps DK confirms her hypothesis.
རྐོམ|རྐམ ND. gives as the present of རྐོམ 
རྐྱག|སྐྱག (CD). gives as a present to རྐྱག 
རྐྱལ|Present: ཆུ་བོ LZ, CD, DS, TC.\nPast: རྐྱོལ LZ. རྐྱོལད DS, TC.\nFuture: རྐྱལ LZ, DS, TC.\nImperative: རྐྱལ LZ. བརྐྱལ DS, TC.\nVoluntary:LZ, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: རྐྱལ LZ.\nMeaning: To swim, to amuse oneself by swimming (Ja) CD. To swim DS, TC. 
རྐྱོང|Present: རྒྱོང TD, LZ, CD, ND, DK, DS, TC.\nPast: ཡན་ལག TD, LZ, CD, ND, DK, DS, TC.\nFuture: ཞབས་སོགས TD, LZ, CD, ND, DK, DS, TC.\nImperative: ཡན་ལག་སོགས TD, LZ, ND, DK, DS, TC.\nVoluntary:TD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: རྐང 'foot' (Beyer 1992: 84 n. 15).\nCharacteristic Example: རྐྱོངས TD. བརྐྱང LZ. བརྐྱངས ND. \nMeaning: To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) CD. To stretch out one's arms; to extend DK. To extend, stretch (the feet, hands &c.) DS. To stretch, spread out, extend TC.\nNote: Related to རྐྱོང (Duff).
ལྐུགས|Present: ལྐུག DK. ལྐུགས DS, TC. \nPast: ལྐུགས DK, [DS], TC.\nFuture: ལྐུག DK. ལྐུགས [DS]. TC. \nImperative: ལྐུགས DK. - TC.\nInvoluntary:TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: ལྐུག 'dumb, mute' NWH.\nMeaning: To become foolish; to become dumb DK. To become unable to speak clearly DS. To be dumb, to be unable to talk, to loose one's voice TC.
སྐད|Present: ཟེར CD, DS.\nPast: ཞེས [DS].\nFuture: སྐད [DS].\nTransitive:DS.\nDenominative of: སྐད 'language, speech' NWH.\nMeaning: To say, tell, relate CD. The written equivalent of སྐད and སྐད which mark the end of quoted speech DS.
སྐམ|Present: སྐེམ DK, (Gyurme 1992: 258), (Hoshi 2003).\nPast: སྐམས DK.བསྐམ (Hoshi 2003).\nFuture: སྐམ DK.\nImperative: བསྐམས DK.\nInvoluntary:(Hoshi 2003).\nIntransitive:(Gyurme 1992: 249).\nMeaning: To make thirsty DK. To dry up, dry out (Gyurme 1992: 249), (Hoshi 2003).\nNote: Compare སྐམ 
སྐར|Present: སྐོར CD.\nPast: བསྐར CD.\nImperative: སྐར CD.\nVoluntary:CD.\nMeaning: To hang up; to weigh. CD.
སྐུ|སྐུད DK gives as an alternate present to སྐུ.
སྐུག|Present: སྐུགས DS, TC.\nPast: བསྐུག DS, TC. \nFuture: བསྐུགས DS, TC.\nImperative: སྐུག DS, TC. \nInvoluntary:DS, TC. \nIntransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: For the winner not comply with the game of taking wealth, after a dispute over victory and defeat DS. To make a bet, to bet, to gambol TC.
སྐུང|Present: སྦེད་པའི LZ, CD, ND, DK, DS, TC.\nPast: དབེན་པ་སོགས་སུ LZ, CD, ND, DK, DS, TC.\nFuture: བསྐུངས LZ, CD, ND, DK, DS, TC.\nImperative: བསྐུང LZ, ND, DS, TC.\nVoluntary: ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བསྐུངས LZ. སྐུང ND.\nMeaning: To hide in the ground, to bury, to inter CD. To hide; to keep secret DK. 1. To hide away. 2. To write the symbol 'X' as a substitute for following words which are repeated in lines of verse, or other expression DS. To hide, conceal TC.
