ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
སྐུ་མ་རྙོངས་པ|Abdomen is not misshapen
ཕྱལ་ཕྱང་ངེ་བ|Abdomen is slender
སྐུ་ལ་གཉེར་མ་མེད་པ|Abdomen that is unwrinkled
འོད་གསལ|Luminous Heaven
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
དངོས་པོ་མེད་པ་ལས་བྱུང|Abhāva
དངོས་པོ་མེད་པ་ལས་བྱུང་བ|Abhāva
དངོས་པོ་མེད་པ་ལས་བྱུང|Abhāva
དངོས་པོ་མེད་པ་ལས་བྱུང་བ|Abhāva
ཆོས་མངོན་པ|Abhidharma
ཆོས་མངོན་པ|Abhidharma
མངོན་པར་ཤེས་ཐོབ|Abhijñaprāpta
མངོན་པར་ཤེས་ཐོབ|Abhijñaprāpta
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
ཆོས་མངོན་པའི་མཛོད|Abhi­dharma­kośa
ཆོས་མངོན་པའི་མཛོད|Abhi­dharma­kośa
མངོན་ཤེས་ཡེ་ཤེས་ཟིལ་གནོན|Abhi­jñā­jñānābhi­bhū
མངོན་ཤེས་ཡེ་ཤེས་ཟིལ་གནོན|Abhi­jñā­jñānābhi­bhū
མངོན་པར་ཤེས་པའི་མེ་ཏོག་ཤིན་ཏུ་རྒྱས་པ|Abhi­jñā­puṣpa­supari­pūrṇa
མངོན་པར་ཤེས་པའི་མེ་ཏོག་ཤིན་ཏུ་རྒྱས་པ|Abhi­jñā­puṣpa­supari­pūrṇa
མངོན་འཕགས་རྒྱལ་པོ|Abhyudgatarāja
མངོན་འཕགས་རྒྱལ་པོ|Abhyudgatarāja
གནས|Abide
