སྐུ་མ་རྙོངས་པ|a­bhugna­kukṣi­tā
ཕྱལ་ཕྱང་ངེ་བ|kṣāmodara­tā
སྐུ་ལ་གཉེར་མ་མེད་པ|mṛṣṭa­kukṣi­tā
འོད་གསལ|ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
འོད་གསལ|Ābhāsvara
དངོས་པོ་མེད་པ་ལས་བྱུང|Abhāva; Abhāva­samudgata
དངོས་པོ་མེད་པ་ལས་བྱུང་བ|Abhāva; Abhāva­samudgata
དངོས་པོ་མེད་པ་ལས་བྱུང|Abhāva; Abhāva­samudgata
དངོས་པོ་མེད་པ་ལས་བྱུང་བ|Abhāva; Abhāva­samudgata
ཆོས་མངོན་པ|Abhidharma
ཆོས་མངོན་པ|Abhidharma
མངོན་པར་ཤེས་ཐོབ|Abhijñaprāpta
མངོན་པར་ཤེས་ཐོབ|Abhijñaprāpta
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
མངོན་པར་དགའ་བ|Abhirati
ཆོས་མངོན་པའི་མཛོད|Abhi­dharma­kośa
ཆོས་མངོན་པའི་མཛོད|Abhi­dharma­kośa
མངོན་ཤེས་ཡེ་ཤེས་ཟིལ་གནོན|Abhi­jñā­jñānābhi­bhū
མངོན་ཤེས་ཡེ་ཤེས་ཟིལ་གནོན|Abhi­jñā­jñānābhi­bhū
མངོན་པར་ཤེས་པའི་མེ་ཏོག་ཤིན་ཏུ་རྒྱས་པ|Abhi­jñā­puṣpa­supari­pūrṇa
མངོན་པར་ཤེས་པའི་མེ་ཏོག་ཤིན་ཏུ་རྒྱས་པ|Abhi­jñā­puṣpa­supari­pūrṇa
མངོན་འཕགས་རྒྱལ་པོ|Abhyudgatarāja
མངོན་འཕགས་རྒྱལ་པོ|Abhyudgatarāja
གནས|adhi­tiṣṭhati
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ལ་གནས་པ|vi­jñānānantyāyatanaṃ vi­harati
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་པ|vi­jñānāntyāyatanam­upasampadya­viharati
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་པ|vi­jñānāntyāyatanam­upasampadya­viharati
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ལ་གནས་པ|ākāśānantyāyatanaṃ vi­harati
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་པ|ākāśānantyāyatanam­upasampadya vi­harati
གནས་པ|adhi­tiṣṭhan
ཞི་གནས|śamatha
ཞི་གནས|śamatha
མི་གནས་པ|a­sthiti; a­sthitā
གནས་པ་མེད་པ|a­sthiti; a­sthitā
ཆོས་གནས་པ་ཉིད|dharma­sthiti­tā
རང་བཞིན་གནས་རིགས|pra­kṛti­ṣṭha­gotra
སེམས་མེད་པར་གནས་པ|niś­citta
ཆོས་རྣམས་ཀྱི་ཆོས་གནས་པ་ཉིད|dharma­sthiti­tā
མི་གནས་པའི་ཚུལ་གྱིས|a­sthāna­yogena
དེ་བཞིན་ཉིད་དུ་ཆོས་གནས་པ|tathatā­dharma­sthiti
དེ་བཞིན་ཉིད་ལ་གནས་ཤིང་སེམས་མེད་པ|tathatā­sthita­niścita
དེ་བཞིན་ཉིད་ལ་གནས་ཤིང་སེམས་མེད་པ|tathatā­sthita­niścita
ཆོས་རྣམས་ཀྱི་ཆོས་གནས་པ་ཉིད|dharma­sthiti­tā
ཆོས་གནས་པ་ཉིད|dharma­sthiti­tā
དེ་བཞིན་ཉིད་དུ་ཆོས་གནས་པ|tathatā­dharma­sthiti
སེམས་མེད་པར་གནས་པ|niś­citta
ཐུབ་པ|muni
གནས|layana
གནས་གཙང་མ|Śuddhāvāsa
གནས་གཙང་མའི་རིས|śuddha­nivāsa
དགའ་ལྡན་གྱི་གནས|Tuṣitabhavana
