ཀ|{stambha}
ཀ་ཀ|{kAka}
ཀཱ་ཀ|{kAka}
ཀ་ཀ་ནི|{1) kapardaka 2) kAkaNi, kAkiNI}
ཀ་ཀ་རི|{kakkhaTI, kakAri}
ཀཱ་ཀ་ལླི|{kAkalI}
སྒྲ་ཆ་ཕྲ་བ|{kAkalI}
ཀ་ཀི་རི|{kakkhaTI}
ཀ་ཀུ་བྷ་ཡ|{kakubha}
ཀ་ཀོ་ལ|{1) eraNDa 2) elA 3) kakkola 4) candrabAla 5) nADItaraGga 6) pRthIka 7) muJja}
ཀ་ཁའི་དོ་ཧ|{kakhadoha}
ཀ་ཁའི་དོ་ཧའི་བཤད་པ་བྲིས་པ|{kakhadohaTippaNa}
ཀ་སྒྲོགས|{kAka}
ཀ་ཅ|{1) dravya 2) dhana}
ཀ་ཆེན|{mahAstambha}
ཀ་ཏ་ཀ|{kataka}
ཀཱ་ཏཱ་ཡ་ན|{kAtyAyana}
ཀ་ར་ཡ་ན་ནོག་ཅན|{ka ku daH kAtyAyana}
ཀ་ཏའི་བུ|{kAtyAyana}
ཀ་ཏའི་བུ་མོ|{1) umA 2) kAtyAyanI}
ཀ་ཏོ་ར|{kaTora}
ཀཱ་ཏྱཱ་ཡ་ན|{kAtyAyana}
ཀཱ་ཏྱཱ་ཡ་ན་ཆེན་པོ|{mahAkAtyAyana}
ཀ་ཏྱའི་བུ|{kAtyAyana}
ཀ་ཏྱའི་བུ་ཆེན་པོ|{mahAkAtyAyana}
ཀ་ཏྱའི་བུ་ནོག་ཅན|{kakudaH kAtyAyana}
ཀ་རྟེན|{kumbhaka}
ཀ་ཊོ་ར|{kaTora}
ཀ་དམ་པ|{1) kadamba 2) nIpa 3) priyaka 4) hali, halipriya}
ཀ་དམ་པའི་མེ་ཏོག|{kadambapuSpa}
ཀ་དམ་བ་ཀའི་མེ་ཏོག|{kadambapuSpa}
ཀ་དྲུའི་བུ|{kAdraviya}
ཀ་ན་ཀ|{kanaka}
ཀ་ན་ཀ་ཝརྨ|{kanakavarma}
ཀ་ནི་ཀ|{kaniSka}
ཀ་ནིསྐ|{kaniSka}
ཀ་ནིས་ཀའི་རྒྱལ་པ|{kaniSkarAja}
ཀ་རཎ་པ|{karNAta}
ཀ་པཱ་ལ|{kapAla}
ཀཱ་པ་ལི་ཏཱ་ར|{bhaTTArikA kapAlatArA}
ཀ་པི|{1) kapittha 2) pItana}
ཀ་པི་ཀ་ཚ|{kapikacchu}
ཀ་པི་ཏ|{kapittha}
ཀ་པི་ལ་མུ་ནི|{kapilamuni}
